SampleID,AccX_ms2,AccY_ms2,AccZ_ms2,GyroX_dps,GyroY_dps,GyroZ_dps,MagX,MagY,MagZ
16843,6.03,-0.05,-1.88,111.8,22.2,-111.1,277,-135,-1126
16844,6.00,-0.59,-2.00,108.7,27.5,-119.1,320,-150,-1133
16845,6.21,-0.80,-1.94,103.2,33.1,-120.1,331,-167,-1111
16846,6.89,-1.09,-1.88,95.7,33.2,-121.4,361,-180,-1083
16847,7.35,-1.59,-2.04,85.1,30.5,-121.6,393,-190,-1068
16848,7.80,-2.04,-1.82,70.2,27.9,-118.3,423,-210,-1056
16849,8.51,-2.25,-1.47,53.3,21.5,-111.2,455,-212,-1032
16850,9.05,-2.28,-1.52,35.8,12.5,-100.2,482,-247,-1012
16851,9.48,-2.59,-1.87,18.8,6.9,-83.3,512,-237,-985
16852,9.92,-2.85,-2.22,3.7,6.8,-69.5,522,-270,-958
16853,10.53,-2.82,-2.29,-7.6,7.5,-62.6,551,-262,-953
16854,11.10,-2.49,-2.48,-13.3,10.2,-55.7,581,-262,-936
16855,11.42,-2.45,-2.94,-14.5,16.5,-45.4,593,-255,-918
16856,11.96,-2.25,-3.24,-13.0,27.5,-35.8,616,-240,-906
16857,12.93,-1.56,-3.36,-4.4,31.7,-27.2,631,-245,-901
16858,14.07,-0.92,-3.28,9.1,22.0,-22.3,636,-217,-890
16859,14.27,-1.10,-3.59,15.5,12.5,-19.4,641,-232,-898
16860,14.62,-1.02,-3.68,10.7,9.9,-9.8,647,-230,-887
16861,15.50,-0.38,-3.59,0.6,2.1,14.0,633,-232,-887
16862,15.76,-0.00,-4.05,-11.1,-13.2,46.2,638,-240,-921
16863,15.09,-0.02,-4.77,-26.3,-21.9,77.5,611,-222,-926
16864,14.11,0.32,-4.74,-42.4,-21.7,101.8,593,-215,-946
16865,12.98,0.70,-3.77,-53.5,-21.2,116.4,576,-217,-975
16866,11.37,0.74,-2.82,-59.4,-20.4,122.2,541,-195,-980
16867,9.87,0.58,-2.05,-62.0,-18.2,123.9,507,-175,-1025
16868,8.71,0.53,-1.53,-63.3,-17.6,123.7,485,-140,-1050
16869,7.60,0.38,-1.49,-65.9,-18.0,123.7,457,-130,-1078
16870,6.87,0.52,-1.53,-70.0,-18.1,126.3,388,-132,-1103
16871,5.83,0.38,-2.20,-72.8,-18.0,130.8,353,-117,-1131
16872,6.18,0.74,-1.82,-70.5,-27.5,126.3,270,-85,-1175
16873,6.96,1.33,-1.38,-61.3,-41.6,121.3,240,-80,-1175
16874,7.72,1.77,-1.56,-51.1,-49.3,111.8,181,-97,-1207
16875,8.40,2.09,-1.93,-43.2,-44.2,98.7,151,-120,-1231
16876,9.30,2.54,-1.95,-36.7,-34.8,85.2,111,-135,-1238
16877,9.69,2.95,-1.96,-27.6,-29.5,72.2,92,-137,-1241
16878,9.94,3.27,-2.15,-16.9,-25.8,56.0,57,-152,-1261
16879,10.10,3.33,-2.40,-7.1,-18.3,34.5,37,-165,-1263
16880,9.84,3.35,-2.65,2.1,-5.5,12.5,20,-180,-1256
